Outlook,Temperature,Humidity,Wind,PlayTennis
Sunny,Hot,Normal,Strong,Yes
Overcast,Hot,Normal,,Yes
Rain,Mild,High,Weak,Yes
Sunny,Cool,Normal,Weak,Yes
Overcast,Mild,High,Strong,Yes
Rain,Hot,Normal,Weak,Yes
Sunny,Mild,High,Weak,No
Overcast,Cool,High,Weak,Yes
Rain,Cool,High,Strong,No
Sunny,Hot,Normal,Weak,Yes
Overcast,Hot,High,Strong,Yes
Rain,Mild,Normal,Strong,No
Sunny,Mild,Normal,Weak,Yes
Overcast,Mild,Normal,Strong,Yes
Rain,Cool,Normal,Weak,Yes
Sunny,Cool,High,Weak,No
Overcast,Hot,Normal,Weak,Yes
Rain,Hot,High,Strong,No
Sunny,Mild,High,Strong,No
Overcast,Cool,Normal,,Yes
Rain,Mild,High,Weak,Yes
Sunny,Hot,High,Weak,No
Overcast,Mild,Normal,Weak,Yes
Rain,Cool,Normal,Strong,No
Sunny,Cool,Normal,Strong,Yes
Overcast,Hot,High,Weak,Yes
Rain,Hot,Normal,Weak,Yes
Sunny,Mild,High,Weak,No
Overcast,Mild,High,Strong,Yes
Rain,Cool,High,Weak,No
Sunny,Hot,Normal,Strong,Yes
Overcast,Cool,Normal,Strong,Yes
Rain,Mild,Normal,Weak,Yes
Sunny,Cool,,Strong,No
Overcast,Hot,Normal,Weak,Yes
Rain,Hot,High,Weak,No
Sunny,Mild,Normal,Weak,Yes
Overcast,Mild,Normal,Strong,Yes
Rain,Cool,Normal,Weak,Yes
Rain,Cool,High,Weak,No
Sunny,Hot,Normal,,Yes
Overcast,Mild,Normal,Strong,No
Rain,Mild,Normal,Weak,Yes
Sunny,Hot,High,Strong,No
Rain,Cool,High,Weak,No
Rain,Hot,Normal,Weak,Yes
Sunny,Cool,High,Strong,No
Overcast,Hot,High,Strong,Yes
Rain,Mild,Normal,Strong,No
Sunny,Mild,Normal,Weak,Yes
Rain,Cool,Normal,Weak,No
Overcast,Cool,Normal,,Yes
Rain,Hot,High,Weak,No
Sunny,Hot,High,Weak,No
Rain,Mild,High,,Yes
Sunny,Mild,High,Strong,Yes
Overcast,Mild,Normal,Weak,Yes
Overcast,Cool,High,Weak,Yes
Rain,Cool,Normal,Weak,No
Rain,Hot,Normal,Weak,Yes
Sunny,Cool,High,Strong,No
Overcast,Hot,High,Strong,Yes
Rain,Mild,Normal,Strong,No
Sunny,Mild,Normal,Weak,Yes
Overcast,Mild,High,Weak,No
Sunny,Cool,Normal,Weak,Yes
Rain,Mild,Normal,Weak,No
Sunny,Mild,Normal,Strong,Yes
Overcast,Mild,,Weak,Yes
Rain,Cool,,Strong,No
Sunny,Hot,,Strong,Yes
Overcast,Hot,Normal,Weak,Yes
Rain,Mild,High,,Yes
Sunny,Cool,Normal,Weak,Yes
Overcast,Mild,Normal,Strong,Yes
Rain,Hot,Normal,Weak,Yes
Sunny,Mild,High,Weak,Yes
Overcast,Cool,High,Weak,Yes
Rain,Cool,High,Strong,No
Overcast,Cool,High,Weak,Yes
Rain,Cool,High,Weak,No
Rain,Hot,Normal,Weak,Yes
Sunny,Cool,High,Strong,No
Overcast,Hot,High,Strong,Yes
Rain,Mild,Normal,Strong,No
Sunny,Mild,Normal,Weak,Yes
Sunny,Cool,Normal,Strong,Yes
Overcast,Cool,Normal,Weak,Yes
Rain,Hot,High,Weak,No
Sunny,Hot,High,Weak,No
Rain,Mild,High,Weak,Yes
Overcast,Mild,High,Weak,Yes
Sunny,Cool,High,Weak,No
Rain,Cool,Normal,Weak,No
Sunny,Mild,Normal,Weak,Yes
Overcast,Hot,Normal,Strong,Yes
Rain,Hot,High,Strong,No
Rain,Mild,High,Strong,No
Overcast,Mild,Normal,Strong,Yes
Rain,Cool,High,Weak,No
Sunny,Hot,Normal,Strong,Yes
Overcast,Cool,,Strong,Yes
Rain,Mild,Normal,Weak,Yes
Sunny,Cool,High,Strong,No
Overcast,Hot,Normal,Weak,Yes
Rain,Hot,High,Weak,No
Sunny,Mild,Normal,Weak,Yes
Overcast,Mild,Normal,Strong,Yes
Rain,Cool,Normal,Weak,Yes
Rain,Cool,High,Weak,Yes
Sunny,Hot,Normal,Strong,Yes
Overcast,Mild,Normal,Strong,No
Rain,Mild,,Weak,Yes
Sunny,Hot,High,Strong,No
Overcast,Cool,High,Weak,No
Rain,Hot,Normal,Weak,No
Sunny,Cool,High,Strong,No
Overcast,Hot,High,Strong,Yes
Rain,Mild,Normal,Strong,No
Sunny,Mild,Normal,Weak,Yes
Sunny,Cool,Normal,Strong,Yes
Overcast,Cool,Normal,Weak,Yes
Rain,Hot,High,Weak,No
Sunny,Hot,High,Weak,No
Rain,Mild,High,Weak,Yes
Overcast,Mild,High,,Yes
Sunny,Cool,High,,No
Rain,Cool,Normal,,No
Sunny,Mild,Normal,Weak,Yes
Overcast,Hot,Normal,Strong,Yes
Rain,Hot,High,Strong,No
Rain,Mild,High,Strong,No
Overcast,Mild,Normal,Strong,Yes
Rain,Cool,High,Weak,No
